BATCHBILLING
BATCH_BILLING_REF_NO, BATCH BILLING REF NO, Alphabets, varchar, 20
DUE_DATE_REF_NO, DUE DATE REF NO, Alphabets, varchar, 15
FIN_YR, FIN YR, Alphabets, varchar, 2
VIO, VIO, Alphabets, varchar, 15
STATUS, STATUS, Decimal number, numeric, (2|0)
TIME_STAMP, TIME STAMP, Datetime, datetime2, ,N
BATCHREF, BATCHREF, Alphabets, varchar, 50
INBOUNDFILE, INBOUNDFILE, Alphabets, varchar, 50
ACTION, ACTION, Alphabets, varchar, 4000
USER_INPUT_VOUCHER_NO, USER INPUT VOUCHER NO, Alphabets, varchar, 20
USER_INPUT_REMARKS, USER INPUT REMARKS, Alphabets, varchar, 100
CITIBANK_AMT_PARAM
TYPE, TYPE, Alphabets, varchar, 100
TRX_CODE, TRX CODE, Alphabets, varchar, 4
SIGN, SIGN, Alphabets, varchar, 1
DETAIL
TRANS_ID, TRANS ID, Alphabets, varchar, 7
TRANS_ID, TRANS ID, Alphabets, varchar, 7
DUE_DATE_REF_NO, DUE DATE REF NO, Alphabets, varchar, 15
CARDHOLDER_LIMIT, CARDHOLDER LIMIT, Decimal number, numeric, (18|2)
CARD_STATUS, CARD STATUS, Alphabets, varchar, 1
BILLING_AMT_CRE, BILLING AMT CRE, Decimal number, numeric, (18|2)
BILLING_AMT, BILLING AMT, Decimal number, numeric, (18|2)
TRANS_DESC, TRANS DESC, Alphabets, varchar, 100
TRANS_AMT_CRE, TRANS AMT CRE, Decimal number, numeric, (18|2)
TRANS_AMT, TRANS AMT, Decimal number, numeric, (18|2)
TRANS_DATE, TRANS DATE, Datetime, datetime2, ,N
TRANS_STATUS_CODE, TRANS STATUS CODE, Alphabets, varchar, 1
POSTED_DATE, POSTED DATE, Datetime, datetime2, ,N
ACQ_REF_NO, ACQ REF NO, Alphabets, varchar, 23
MERCHANT_CATEGORY_CODE, MERCHANT CATEGORY CODE, Integers, smallint, ,N
