"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","PRIMARY"
"ACCEPT","ACCEPT_DATE","DATE",7,,,"Y","N"
"ACCEPT","ACCEPT_REF_NO","VARCHAR2",7,,,"N","Y"
"ACCEPT","AMOUNT","NUMBER",22,18,2,"Y","N"
"ACCEPT","TRANS_ID","VARCHAR2",7,,,"Y","N"
"ACCEPT","USER_CODE","VARCHAR2",40,,,"Y","N"
"ACCEPT","USER_ID","VARCHAR2",15,,,"Y","N"
"AP_ERROR_CODE","ERROR_CODE","VARCHAR2",80,,,"N","Y"
"AP_ERROR_CODE","ERROR_MSG","VARCHAR2",4000,,,"Y","N"
"AP_ERROR_CODE_TYPE","ERROR_CODE","VARCHAR2",80,,,"N","Y"
"AP_ERROR_CODE_TYPE","ERROR_TYPE","VARCHAR2",3,,,"N","Y"
"BANKINFO","BANKID","NUMBER",22,,,"N","Y"
"BANKINFO","BANKNAME","VARCHAR2",40,,,"N","N"
"BANKINFO","TFWDATE","DATE",7,,,"N","N"
"BATCHBILLING","ACTION","VARCHAR2",4000,,,"Y","N"
"BATCHBILLING","BATCHREF","VARCHAR2",50,,,"Y","N"
"BATCHBILLING","BATCH_BILLING_REF_NO","VARCHAR2",20,,,"N","Y"
"BATCHBILLING","DUE_DATE_REF_NO","VARCHAR2",15,,,"Y","N"
"BATCHBILLING","FIN_YR","VARCHAR2",2,,,"Y","N"
"BATCHBILLING","IMPORT_DATE","DATE",7,,,"Y","N"
"BATCHBILLING","IMPORT_ID","VARCHAR2",15,,,"Y","N"
"BATCHBILLING","INBOUNDFILE","VARCHAR2",50,,,"Y","N"
"BATCHBILLING","MERCHANT_COUNTRY_CODE","VARCHAR2",3,,,"Y","N"
"BATCHBILLING","STATUS","NUMBER",22,2,0,"Y","N"
"BATCHBILLING","TIME_STAMP","TIMESTAMP(6)",11,,6,"Y","N"
"BATCHBILLING","VIO","VARCHAR2",15,,,"Y","N"
"BATCHBILLING","WPOCS_BATCH_REF","VARCHAR2",15,,,"Y","N"
"BATCHBILLING","WPOCS_DATE","DATE",7,,,"Y","N"
"BATCHBILLING","WPOCS_ID","VARCHAR2",15,,,"Y","N"
"CCCODE","CCCODE","VARCHAR2",10,,,"N","Y"
"CCCODE","DFLAG","VARCHAR2",1,,,"Y","N"
"CCCODE","USER_ID","VARCHAR2",15,,,"N","Y"
"CITIBANK_AMT_PARAM","SIGN","VARCHAR2",1,,,"N","N"
"CITIBANK_AMT_PARAM","TRX_CODE","VARCHAR2",4,,,"N","Y"
"CITIBANK_AMT_PARAM","TYPE","VARCHAR2",100,,,"N","Y"
"COST_SECTION_MAP","COST_CENTRE_CODE","VARCHAR2",4,,,"N","Y"
"COST_SECTION_MAP","SECTION_CODE","VARCHAR2",5,,,"N","Y"
"DETAIL","ACCEPTED","VARCHAR2",1,,,"Y","N"
"DETAIL","ACQ_REF_NO","VARCHAR2",23,,,"Y","N"
"DETAIL","BILLING_AMT","NUMBER",22,18,2,"Y","N"
"DETAIL","BILLING_AMT_CRE","NUMBER",22,18,2,"Y","N"
"DETAIL","BU_NAME","VARCHAR2",30,,,"Y","N"
"DETAIL","CARDHOLDER_LIMIT","NUMBER",22,18,2,"Y","N"
"DETAIL","CARD_STATUS","VARCHAR2",1,,,"Y","N"
"DETAIL","COMMODITY_DESC","VARCHAR2",50,,,"Y","N"
"DETAIL","CUST_REF_ID","VARCHAR2",17,,,"Y","N"
"DETAIL","C_TRANS_ID","VARCHAR2",7,,,"Y","N"
"DETAIL","DISPUTED","CHAR",1,,,"Y","N"
"DETAIL","DUE_DATE_REF_NO","VARCHAR2",15,,,"Y","N"
"DETAIL","FEE_DISPUTE_AMT","NUMBER",22,18,2,"Y","N"
"DETAIL","GROUP_ID","NUMBER",22,6,0,"Y","N"
"DETAIL","IGNORED","CHAR",1,,,"Y","N"
"DETAIL","LAST_UPDATE_USER","VARCHAR2",15,,,"Y","N"
"DETAIL","MERCHANT_CATEGORY_CODE","NUMBER",22,4,0,"Y","N"
"DETAIL","MERCHANT_COUNTRY_CODE","VARCHAR2",3,,,"Y","N"
"DETAIL","NOTIFY_STATUS","CHAR",1,,,"Y","N"
"DETAIL","ORDER_NO","VARCHAR2",25,,,"Y","N"
"DETAIL","PAYMENT_NO","VARCHAR2",20,,,"Y","N"
"DETAIL","PCARD_NO","VARCHAR2",16,,,"Y","N"
"DETAIL","POSTED_DATE","DATE",7,,,"Y","N"
"DETAIL","PUSER_SUBMIT_DATE","DATE",7,,,"Y","N"
"DETAIL","REJECT_DESC","VARCHAR2",200,,,"Y","N"
"DETAIL","TF_USERCODE","VARCHAR2",40,,,"Y","N"
"DETAIL","TRANS_AMT","NUMBER",22,18,2,"Y","N"
"DETAIL","TRANS_AMT_CRE","NUMBER",22,18,2,"Y","N"
"DETAIL","TRANS_DATE","DATE",7,,,"Y","N"
"DETAIL","TRANS_DESC","VARCHAR2",100,,,"Y","N"
"DETAIL","TRANS_ID","VARCHAR2",7,,,"N","Y"
"DETAIL","TRANS_STATUS","VARCHAR2",1,,,"Y","N"
"DETAIL","USERCODE_SEQNO","NUMBER",22,6,0,"Y","N"
"DISPUTE","ADDRESS","VARCHAR2",50,,,"Y","N"
"DISPUTE","BILLING_AMT","NUMBER",22,18,2,"Y","N"
"DISPUTE","DISPUTE_AMT","NUMBER",22,18,2,"Y","N"
"DISPUTE","DISPUTE_REF_NO","VARCHAR2",7,,,"N","Y"
"DISPUTE","DUPLICATE_CHARGES","VARCHAR2",2,,,"Y","N"
"DISPUTE","EMAIL","VARCHAR2",50,,,"Y","N"
"DISPUTE","FEE_ID","VARCHAR2",7,,,"Y","N"
"DISPUTE","FEE_USERCODE","VARCHAR2",40,,,"Y","N"
"DISPUTE","HOUR_FROM","VARCHAR2",20,,,"Y","N"
"DISPUTE","HOUR_TO","VARCHAR2",20,,,"Y","N"
"DISPUTE","REASON_CODE","VARCHAR2",11,,,"Y","N"
"DISPUTE","REASON_FOR_DISPUTE","VARCHAR2",50,,,"Y","N"
"DISPUTE","REASON_ID","NUMBER",22,,0,"Y","N"
"DISPUTE","REMARKS","VARCHAR2",100,,,"Y","N"
"DISPUTE","TEL","VARCHAR2",20,,,"Y","N"
"DISPUTE","TRANS_DATE","DATE",7,,,"Y","N"
"DISPUTE","TRANS_ID","VARCHAR2",7,,,"N","N"
"DISPUTE_REASON_LIST","REASON","VARCHAR2",100,,,"Y","N"
"DISPUTE_REASON_LIST","REASON_ID","NUMBER",22,,0,"N","Y"
"DUE_DATE","BANK_CODE","VARCHAR2",4,,,"Y","N"
"DUE_DATE","DUE_DATE","DATE",7,,,"Y","N"
"DUE_DATE","DUE_DATE_REF_NO","VARCHAR2",15,,,"N","Y"
"DUE_DATE","IS_SEND_EMAIL","VARCHAR2",1,,,"Y","N"
"DUE_DATE","STATUS","CHAR",1,,,"Y","N"
"DUE_DATE","TOTAL_MATCH1_AMT","NUMBER",22,18,2,"Y","N"
"DUE_DATE","TOTAL_MATCH1_QTY","NUMBER",22,13,0,"Y","N"
"DUE_DATE","TOTAL_MATCH2_AMT","NUMBER",22,18,2,"Y","N"
"DUE_DATE","TOTAL_MATCH2_QTY","NUMBER",22,13,0,"Y","N"
"DUE_DATE","TOTAL_MATCH3_AMT","NUMBER",22,18,2,"Y","N"
"DUE_DATE","TOTAL_MATCH3_QTY","NUMBER",22,13,0,"Y","N"
"DUE_DATE","TOTAL_MATCH4_AMT","NUMBER",22,18,2,"Y","N"
"DUE_DATE","TOTAL_MATCH4_QTY","NUMBER",22,13,0,"Y","N"
"DUE_DATE","TOTAL_MATCH5_AMT","NUMBER",22,18,2,"Y","N"
"DUE_DATE","TOTAL_MATCH5_QTY","NUMBER",22,13,0,"Y","N"
"DUE_DATE","TOTAL_MATCH6_AMT","NUMBER",22,18,2,"Y","N"
"DUE_DATE","TOTAL_MATCH6_QTY","NUMBER",22,13,0,"Y","N"
"DUE_DATE","TOTAL_UPLOAD_AMT","NUMBER",22,18,2,"Y","N"
"DUE_DATE","TOTAL_UPLOAD_QTY","NUMBER",22,13,0,"Y","N"
"DUE_DATE","UP_FILE_NAME","VARCHAR2",150,,,"Y","N"
"EU_USERPROFILE","CREATE_DATE","DATE",7,,,"Y","N"
"EU_USERPROFILE","DESCRIPTION","VARCHAR2",100,,,"Y","N"
"EU_USERPROFILE","DESIGNATED_USER","VARCHAR2",15,,,"Y","N"
"EU_USERPROFILE","EMAIL","VARCHAR2",100,,,"Y","N"
"EU_USERPROFILE","FAIL_LOGIN_COUNTTER","VARCHAR2",12,,,"Y","N"
"EU_USERPROFILE","FAX","VARCHAR2",20,,,"Y","N"
"EU_USERPROFILE","LAST_LOGIN_DATE","DATE",7,,,"Y","N"
"EU_USERPROFILE","LAST_PASSWORD_CHANGE_DATE","DATE",7,,,"Y","N"
"EU_USERPROFILE","LAST_UPDATE_DATE","DATE",7,,,"Y","N"
"EU_USERPROFILE","LAST_UPDATE_USER","VARCHAR2",15,,,"Y","N"
"EU_USERPROFILE","LOCKED","NUMBER",22,1,0,"Y","N"
"EU_USERPROFILE","OUTOFFICE","CHAR",1,,,"Y","N"
"EU_USERPROFILE","OUTOFFICE_SCH","CHAR",1,,,"Y","N"
"EU_USERPROFILE","OUT_END_DATE","DATE",7,,,"Y","N"
"EU_USERPROFILE","OUT_START_DATE","DATE",7,,,"Y","N"
"EU_USERPROFILE","PASSWORD","VARCHAR2",15,,,"Y","N"
"EU_USERPROFILE","PCS_ACCESS_LEVEL","VARCHAR2",1,,,"Y","N"
"EU_USERPROFILE","POST","VARCHAR2",20,,,"Y","N"
"EU_USERPROFILE","STATUS","NUMBER",22,2,0,"Y","N"
"EU_USERPROFILE","TEL","VARCHAR2",20,,,"Y","N"
"EU_USERPROFILE","USER_CODE_REF_NO","VARCHAR2",15,,,"Y","N"
"EU_USERPROFILE","USER_ID","VARCHAR2",15,,,"N","Y"
"EU_USERPROFILE","USER_NAME","VARCHAR2",50,,,"Y","N"
"EU_USERPROFILE","USER_REF","VARCHAR2",20,,,"Y","N"
"EXCEPTION_USERCODE","AMOUNT","NUMBER",22,18,2,"Y","N"
"EXCEPTION_USERCODE","IS_EU","CHAR",1,,,"N","Y"
"EXCEPTION_USERCODE","IS_NEW","CHAR",1,,,"Y","N"
"EXCEPTION_USERCODE","PAYMENT_NO","VARCHAR2",20,,,"N","Y"
"EXCEPTION_USERCODE","PROCESS_DATE","DATE",7,,,"Y","N"
"EXCEPTION_USERCODE","SEQ_NO","NUMBER",22,6,0,"N","Y"
"EXCEPTION_USERCODE","TRANS_ID","VARCHAR2",7,,,"Y","N"
"EXCEPTION_USERCODE","UPD_USER","VARCHAR2",15,,,"Y","N"
"EXCEPTION_USERCODE","USERCODE","VARCHAR2",40,,,"Y","N"
"FEE_TYPE","CODEWIDTH","NUMBER",22,,0,"Y","N"
"FEE_TYPE","FEE_NAME","VARCHAR2",100,,,"N","Y"
"FEE_TYPE","IGNORED","VARCHAR2",1,,,"Y","N"
"FEE_TYPE","IS_NORMAL","CHAR",1,,,"Y","N"
"FEE_TYPE","USERCODE","VARCHAR2",30,,,"Y","N"
"GFMIS_AP_LOG","BATCHREF","VARCHAR2",20,,,"Y","N"
"GFMIS_AP_LOG","ID","VARCHAR2",20,,,"N","Y"
"GFMIS_AP_LOG","INBOUNDFILE","VARCHAR2",50,,,"Y","N"
"GFMIS_AP_LOG","INVNUM","VARCHAR2",50,,,"Y","N"
"GFMIS_AP_LOG","ISEMAILSENDSUCCESS","VARCHAR2",1,,,"Y","N"
"GFMIS_AP_LOG","MESSAGE","CLOB",4000,,,"Y","N"
"GFMIS_AP_LOG","RETURNFILE","VARCHAR2",50,,,"Y","N"
"GFMIS_AP_LOG","STATUS","VARCHAR2",10,,,"Y","N"
"GFMIS_AP_LOG","SUBMITDATE","DATE",7,,,"Y","N"
"GFMIS_AP_LOG","SUBMITUSER","VARCHAR2",20,,,"Y","N"
"GFMIS_BATCH_HISTORY","BATCHREF","VARCHAR2",20,,,"N","Y"
"GFMIS_BATCH_HISTORY","DVN","VARCHAR2",15,,,"N","Y"
"GFMIS_BATCH_HISTORY","INVNUM","VARCHAR2",50,,,"N","Y"
"HOUSEKEEPING","HOUSINGKEEPING_REF_NO","VARCHAR2",15,,,"N","Y"
"HOUSEKEEPING","LAST_UPDATE_DATE","DATE",7,,,"Y","N"
"HOUSEKEEPING","LAST_UPDATE_USER_ID","VARCHAR2",15,,,"Y","N"
"HOUSEKEEPING","NON_TRANS_CUT_OFF_DUEDATE","DATE",7,,,"Y","N"
"HOUSEKEEPING","TRANS_CUT_OFF_DUEDATE","DATE",7,,,"Y","N"
"IGNOREDITEM","ITEM_NAME","VARCHAR2",40,,,"N","Y"
"IGNORED_CHARGES","ACCEPTED","VARCHAR2",1,,,"Y","N"
"IGNORED_CHARGES","ACQ_REF_NO","VARCHAR2",23,,,"Y","N"
